chart_id,music_id,title,pronunciation,difficulty,play_level,chart_constant,total_note_count,tap_count,flick_count,slide_count,trace_count,critical_count,weighted_note_count,published_at
88,18,アスノヨゾラ哨戒班,あすのよぞらしょうかいはん,hard,17,,765,,,,,,,2020-10-01
89,18,アスノヨゾラ哨戒班,あすのよぞらしょうかいはん,expert,25,,1073,,,,,,,2020-10-01
90,18,アスノヨゾラ哨戒班,あすのよぞらしょうかいはん,master,29,,1208,,,,,,,2020-10-01
91,19,シャルル,しゃるる,easy,6,,128,,,,,,,2019-06-10
92,19,シャルル,しゃるる,normal,11,,338,,,,,,,2019-06-10
93,19,シャルル,しゃるる,hard,17,,562,,,,,,,2019-06-10
94,19,シャルル,しゃるる,expert,23,,701,,,,,,,2019-06-10
95,19,シャルル,しゃるる,master,28,,824,,,,,,,2019-06-10
4025,19,シャルル,しゃるる,append,28,,1000,,,,,,,2019-06-10
101,21,脱法ロック,だっぽうろっく,easy,7,,195,,,,,,,2020-10-04
102,21,脱法ロック,だっぽうろっく,normal,13,,405,,,,,,,2020-10-04
103,21,脱法ロック,だっぽうろっく,hard,18,,751,,,,,,,2020-10-04
104,21,脱法ロック,だっぽうろっく,expert,26,,972,,,,,,,2020-10-04
105,21,脱法ロック,だっぽうろっく,master,31,,1145,,,,,,,2020-10-04
106,22,命に嫌われている,いのちにきらわれている,easy,9,,120,,,,,,,2020-10-05
107,22,命に嫌われている,いのちにきらわれている,normal,14,,367,,,,,,,2020-10-05
108,22,命に嫌われている,いのちにきらわれている,hard,18,,515,,,,,,,2020-10-05
109,22,命に嫌われている,いのちにきらわれている,expert,26,,756,,,,,,,2020-10-05
110,22,命に嫌われている,いのちにきらわれている,master,30,,979,,,,,,,2020-10-05
126,26,劣等上等,れっとうじょうとう,easy,7,,148,,,,,,,2019-06-10
127,26,劣等上等,れっとうじょうとう,normal,12,,371,,,,,,,2019-06-10
128,26,劣等上等,れっとうじょうとう,hard,18,,520,,,,,,,2019-06-10
129,26,劣等上等,れっとうじょうとう,expert,25,,825,,,,,,,2019-06-10
130,26,劣等上等,れっとうじょうとう,master,30,,952,,,,,,,2019-06-10
4136,26,劣等上等,れっとうじょうとう,append,30,,939,,,,,,,2019-06-10
131,27,Just Be Friends,じゃすとびーふれんず,easy,6,,148,,,,,,,2020-10-03
132,27,Just Be Friends,じゃすとびーふれんず,normal,11,,410,,,,,,,2020-10-03
133,27,Just Be Friends,じゃすとびーふれんず,hard,17,,679,,,,,,,2020-10-03
134,27,Just Be Friends,じゃすとびーふれんず,expert,23,,811,,,,,,,2020-10-03
135,27,Just Be Friends,じゃすとびーふれんず,master,28,,989,,,,,,,2020-10-03
136,28,ドクター＝ファンクビート,どくたーふぁんくびーと,easy,8,,160,,,,,,,2019-06-10
137,28,ドクター＝ファンクビート,どくたーふぁんくびーと,normal,13,,436,,,,,,,2019-06-10
138,28,ドクター＝ファンクビート,どくたーふぁんくびーと,hard,19,,677,,,,,,,2019-06-10
139,28,ドクター＝ファンクビート,どくたーふぁんくびーと,expert,27,,984,,,,,,,2019-06-10
140,28,ドクター＝ファンクビート,どくたーふぁんくびーと,master,32,,1198,,,,,,,2019-06-10
176,36,ミラクルペイント,みらくるぺいんと,easy,9,,266,,,,,,,2020-10-13
177,36,ミラクルペイント,みらくるぺいんと,normal,12,,618,,,,,,,2020-10-13
178,36,ミラクルペイント,みらくるぺいんと,hard,18,,812,,,,,,,2020-10-13
179,36,ミラクルペイント,みらくるぺいんと,expert,25,,1300,,,,,,,2020-10-13
180,36,ミラクルペイント,みらくるぺいんと,master,30,,1437,,,,,,,2020-10-13
186,38,ブリキノダンス,ぶりきのだんす,easy,8,,113,,,,,,,2019-06-10
187,38,ブリキノダンス,ぶりきのだんす,normal,13,,347,,,,,,,2019-06-10
188,38,ブリキノダンス,ぶりきのだんす,hard,18,,618,,,,,,,2019-06-10
189,38,ブリキノダンス,ぶりきのだんす,expert,25,,852,,,,,,,2019-06-10
190,38,ブリキノダンス,ぶりきのだんす,master,30,,967,,,,,,,2019-06-10
201,41,スイートマジック,すいーとまじっく,easy,5,,151,,,,,,,2019-06-10
202,41,スイートマジック,すいーとまじっく,normal,12,,399,,,,,,,2019-06-10
203,41,スイートマジック,すいーとまじっく,hard,18,,659,,,,,,,2019-06-10
204,41,スイートマジック,すいーとまじっく,expert,24,,920,,,,,,,2019-06-10
205,41,スイートマジック,すいーとまじっく,master,27,,1224,,,,,,,2019-06-10
4065,41,スイートマジック,すいーとまじっく,append,25,,1126,,,,,,,2019-06-10
211,43,ネクストネスト,ねくすとねすと,easy,6,,122,,,,,,,2019-06-10
212,43,ネクストネスト,ねくすとねすと,normal,13,,366,,,,,,,2019-06-10
213,43,ネクストネスト,ねくすとねすと,hard,18,,715,,,,,,,2019-06-10
214,43,ネクストネスト,ねくすとねすと,expert,27,,983,,,,,,,2019-06-10
215,43,ネクストネスト,ねくすとねすと,master,30,,1131,,,,,,,2019-06-10
216,44,Hand in Hand,はんどいんはんど,easy,6,,165,,,,,,,2020-10-08
217,44,Hand in Hand,はんどいんはんど,normal,13,,427,,,,,,,2020-10-08
218,44,Hand in Hand,はんどいんはんど,hard,16,,637,,,,,,,2020-10-08
219,44,Hand in Hand,はんどいんはんど,expert,23,,809,,,,,,,2020-10-08
220,44,Hand in Hand,はんどいんはんど,master,28,,1072,,,,,,,2020-10-08
4049,44,Hand in Hand,はんどいんはんど,append,28,,1020,,,,,,,2020-10-08
221,45,39みゅーじっく！,さんきゅーみゅーじっく,easy,6,,139,,,,,,,2020-10-16
222,45,39みゅーじっく！,さんきゅーみゅーじっく,normal,11,,339,,,,,,,2020-10-16
223,45,39みゅーじっく！,さんきゅーみゅーじっく,hard,16,,539,,,,,,,2020-10-16
224,45,39みゅーじっく！,さんきゅーみゅーじっく,expert,23,,839,,,,,,,2020-10-16
225,45,39みゅーじっく！,さんきゅーみゅーじっく,master,28,,1039,,,,,,,2020-10-16
4125,45,39みゅーじっく！,さんきゅーみゅーじっく,append,27,,1039,,,,,,,2020-10-16
226,46,グリーンライツ・セレナーデ,ぐりーんらいつせれなーで,easy,9,,237,,,,,,,2020-12-29
227,46,グリーンライツ・セレナーデ,ぐりーんらいつせれなーで,normal,14,,413,,,,,,,2020-12-29
228,46,グリーンライツ・セレナーデ,ぐりーんらいつせれなーで,hard,19,,770,,,,,,,2020-12-29
229,46,グリーンライツ・セレナーデ,ぐりーんらいつせれなーで,expert,27,,1034,,,,,,,2020-12-29
230,46,グリーンライツ・セレナーデ,ぐりーんらいつせれなーで,master,31,,1174,,,,,,,2020-12-29
231,47,メルト,めると,easy,7,,286,,,,,,,2019-06-10
232,47,メルト,めると,normal,12,,684,,,,,,,2019-06-10
233,47,メルト,めると,hard,17,,1056,,,,,,,2019-06-10
234,47,メルト,めると,expert,25,,1363,,,,,,,2019-06-10
235,47,メルト,めると,master,29,,1586,,,,,,,2019-06-10
236,48,ワールドイズマイン,わーるどいずまいん,easy,7,,307,,,,,,,2020-10-06
237,48,ワールドイズマイン,わーるどいずまいん,normal,13,,614,,,,,,,2020-10-06
238,48,ワールドイズマイン,わーるどいずまいん,hard,17,,899,,,,,,,2020-10-06
239,48,ワールドイズマイン,わーるどいずまいん,expert,24,,1248,,,,,,,2020-10-06
240,48,ワールドイズマイン,わーるどいずまいん,master,29,,1417,,,,,,,2020-10-06
241,49,初音ミクの消失,はつねみくのしょうしつ,easy,9,,376,,,,,,,2019-06-10
242,49,初音ミクの消失,はつねみくのしょうしつ,normal,15,,751,,,,,,,2019-06-10
243,49,初音ミクの消失,はつねみくのしょうしつ,hard,22,,1116,,,,,,,2019-06-10
244,49,初音ミクの消失,はつねみくのしょうしつ,expert,30,,1502,,,,,,,2019-06-10
245,49,初音ミクの消失,はつねみくのしょうしつ,master,35,,1666,,,,,,,2019-06-10
246,50,Blessing,ぶれっしんぐ,easy,5,,111,,,,,,,2019-06-10
247,50,Blessing,ぶれっしんぐ,normal,11,,347,,,,,,,2019-06-10
248,50,Blessing,ぶれっしんぐ,hard,16,,631,,,,,,,2019-06-10
249,50,Blessing,ぶれっしんぐ,expert,23,,859,,,,,,,2019-06-10
250,50,Blessing,ぶれっしんぐ,master,27,,986,,,,,,,2019-06-10
251,51,セカイはまだ始まってすらいない,せかいはまだはじまってすらいない,easy,6,,122,,,,,,,2019-06-10
252,51,セカイはまだ始まってすらいない,せかいはまだはじまってすらいない,normal,13,,400,,,,,,,2019-06-10
253,51,セカイはまだ始まってすらいない,せかいはまだはじまってすらいない,hard,16,,565,,,,,,,2019-06-10
254,51,セカイはまだ始まってすらいない,せかいはまだはじまってすらいない,expert,24,,774,,,,,,,2019-06-10
255,51,セカイはまだ始まってすらいない,せかいはまだはじまってすらいない,master,29,,1027,,,,,,,2019-06-10
256,52,potatoになっていく,ぽてとになっていく,easy,5,,103,,,,,,,2020-11-07
257,52,potatoになっていく,ぽてとになっていく,normal,11,,243,,,,,,,2020-11-07
258,52,potatoになっていく,ぽてとになっていく,hard,17,,400,,,,,,,2020-11-07
259,52,potatoになっていく,ぽてとになっていく,expert,24,,721,,,,,,,2020-11-07
260,52,potatoになっていく,ぽてとになっていく,master,29,,863,,,,,,,2020-11-07
4018,52,potatoになっていく,ぽてとになっていく,append,25,,703,,,,,,,2020-11-07
266,54,Ready Steady,れでぃすてでぃ,easy,5,,96,,,,,,,2019-06-10
267,54,Ready Steady,れでぃすてでぃ,normal,10,,238,,,,,,,2019-06-10
268,54,Ready Steady,れでぃすてでぃ,hard,16,,403,,,,,,,2019-06-10
269,54,Ready Steady,れでぃすてでぃ,expert,25,,564,,,,,,,2019-06-10
270,54,Ready Steady,れでぃすてでぃ,master,29,,667,,,,,,,2019-06-10
271,55,Forward,ふぉわーど,easy,6,,141,,,,,,,2020-12-08
272,55,Forward,ふぉわーど,normal,11,,281,,,,,,,2020-12-08
273,55,Forward,ふぉわーど,hard,16,,449,,,,,,,2020-12-08
274,55,Forward,ふぉわーど,expert,24,,737,,,,,,,2020-12-08
275,55,Forward,ふぉわーど,master,28,,895,,,,,,,2020-12-08
281,57,アイドル新鋭隊,あいどるしんえいたい,easy,8,,153,,,,,,,2019-06-10
282,57,アイドル新鋭隊,あいどるしんえいたい,normal,12,,343,,,,,,,2019-06-10
283,57,アイドル新鋭隊,あいどるしんえいたい,hard,17,,497,,,,,,,2019-06-10
284,57,アイドル新鋭隊,あいどるしんえいたい,expert,24,,754,,,,,,,2019-06-10
285,57,アイドル新鋭隊,あいどるしんえいたい,master,29,,940,,,,,,,2019-06-10
296,60,悔やむと書いてミライ,くやむとかいてみらい,easy,8,,190,,,,,,,2019-06-10
297,60,悔やむと書いてミライ,くやむとかいてみらい,normal,13,,440,,,,,,,2019-06-10
298,60,悔やむと書いてミライ,くやむとかいてみらい,hard,17,,541,,,,,,,2019-06-10
299,60,悔やむと書いてミライ,くやむとかいてみらい,expert,26,,815,,,,,,,2019-06-10
300,60,悔やむと書いてミライ,くやむとかいてみらい,master,30,,973,,,,,,,2019-06-10
301,61,携帯恋話,けいたいれんわ,easy,8,,204,,,,,,,2020-10-15
302,61,携帯恋話,けいたいれんわ,normal,12,,361,,,,,,,2020-10-15
303,61,携帯恋話,けいたいれんわ,hard,18,,651,,,,,,,2020-10-15
304,61,携帯恋話,けいたいれんわ,expert,25,,981,,,,,,,2020-10-15
305,61,携帯恋話,けいたいれんわ,master,29,,1131,,,,,,,2020-10-15
306,62,ジャックポットサッドガール,じゃっくぽっとさっどがーる,easy,9,,206,,,,,,,2020-10-20
307,62,ジャックポットサッドガール,じゃっくぽっとさっどがーる,normal,13,,258,,,,,,,2020-10-20
308,62,ジャックポットサッドガール,じゃっくぽっとさっどがーる,hard,18,,491,,,,,,,2020-10-20
309,62,ジャックポットサッドガール,じゃっくぽっとさっどがーる,expert,26,,647,,,,,,,2020-10-20
310,62,ジャックポットサッドガール,じゃっくぽっとさっどがーる,master,29,,767,,,,,,,2020-10-20
311,63,needLe,にーどる,easy,7,,216,,,,,,,2019-06-10
312,63,needLe,にーどる,normal,12,,430,,,,,,,2019-06-10
313,63,needLe,にーどる,hard,17,,662,,,,,,,2019-06-10
314,63,needLe,にーどる,expert,25,,889,,,,,,,2019-06-10
315,63,needLe,にーどる,master,29,,1029,,,,,,,2019-06-10
316,64,ステラ,すてら,easy,8,,251,,,,,,,2020-10-18
317,64,ステラ,すてら,normal,13,,503,,,,,,,2020-10-18
318,64,ステラ,すてら,hard,17,,694,,,,,,,2020-10-18
319,64,ステラ,すてら,expert,26,,955,,,,,,,2020-10-18
320,64,ステラ,すてら,master,30,,1190,,,,,,,2020-10-18
4003,64,ステラ,すてら,append,31,,1553,,,,,,,2020-10-18
326,66,ハロ／ハワユ,はろはわゆ,easy,5,,104,,,,,,,2019-06-10
327,66,ハロ／ハワユ,はろはわゆ,normal,10,,271,,,,,,,2019-06-10
328,66,ハロ／ハワユ,はろはわゆ,hard,15,,501,,,,,,,2019-06-10
329,66,ハロ／ハワユ,はろはわゆ,expert,22,,690,,,,,,,2019-06-10
330,66,ハロ／ハワユ,はろはわゆ,master,27,,851,,,,,,,2019-06-10
331,67,自傷無色,じしょうむしょく,easy,5,,112,,,,,,,2019-06-10
332,67,自傷無色,じしょうむしょく,normal,10,,291,,,,,,,2019-06-10
333,67,自傷無色,じしょうむしょく,hard,17,,443,,,,,,,2019-06-10
334,67,自傷無色,じしょうむしょく,expert,22,,614,,,,,,,2019-06-10
335,67,自傷無色,じしょうむしょく,master,26,,829,,,,,,,2019-06-10
336,68,ダンスロボットダンス,だんすろぼっとだんす,easy,8,,157,,,,,,,2020-10-07
337,68,ダンスロボットダンス,だんすろぼっとだんす,normal,13,,407,,,,,,,2020-10-07
338,68,ダンスロボットダンス,だんすろぼっとだんす,hard,18,,719,,,,,,,2020-10-07
339,68,ダンスロボットダンス,だんすろぼっとだんす,expert,26,,927,,,,,,,2020-10-07
340,68,ダンスロボットダンス,だんすろぼっとだんす,master,30,,1057,,,,,,,2020-10-07
341,69,フラジール,ふらじーる,easy,6,,108,,,,,,,2019-06-10
342,69,フラジール,ふらじーる,normal,11,,377,,,,,,,2019-06-10
343,69,フラジール,ふらじーる,hard,17,,669,,,,,,,2019-06-10
344,69,フラジール,ふらじーる,expert,24,,863,,,,,,,2019-06-10
345,69,フラジール,ふらじーる,master,28,,1040,,,,,,,2019-06-10
4103,69,フラジール,ふらじーる,append,28,,999,,,,,,,2019-06-10
346,70,メルティランドナイトメア,めるてぃらんどないとめあ,easy,6,,167,,,,,,,2020-10-25
347,70,メルティランドナイトメア,めるてぃらんどないとめあ,normal,12,,397,,,,,,,2020-10-25
348,70,メルティランドナイトメア,めるてぃらんどないとめあ,hard,17,,595,,,,,,,2020-10-25
349,70,メルティランドナイトメア,めるてぃらんどないとめあ,expert,24,,934,,,,,,,2020-10-25
350,70,メルティランドナイトメア,めるてぃらんどないとめあ,master,27,,959,,,,,,,2020-10-25
351,71,ツギハギスタッカート,つぎはぎすたっかーと,easy,6,,168,,,,,,,2019-06-10
352,71,ツギハギスタッカート,つぎはぎすたっかーと,normal,11,,316,,,,,,,2019-06-10
353,71,ツギハギスタッカート,つぎはぎすたっかーと,hard,16,,583,,,,,,,2019-06-10
354,71,ツギハギスタッカート,つぎはぎすたっかーと,expert,24,,854,,,,,,,2019-06-10
355,71,ツギハギスタッカート,つぎはぎすたっかーと,master,28,,861,,,,,,,2019-06-10
356,72,ブレス・ユア・ブレス,ぶれすゆあぶれす,easy,7,,157,,,,,,,2021-01-04
357,72,ブレス・ユア・ブレス,ぶれすゆあぶれす,normal,13,,361,,,,,,,2021-01-04
358,72,ブレス・ユア・ブレス,ぶれすゆあぶれす,hard,17,,511,,,,,,,2021-01-04
359,72,ブレス・ユア・ブレス,ぶれすゆあぶれす,expert,24,,696,,,,,,,2021-01-04
360,72,ブレス・ユア・ブレス,ぶれすゆあぶれす,master,29,,873,,,,,,,2021-01-04
361,73,ニア,にあ,easy,6,,139,,,,,,,2020-10-02
362,73,ニア,にあ,normal,11,,266,,,,,,,2020-10-02
363,73,ニア,にあ,hard,16,,517,,,,,,,2020-10-02
364,73,ニア,にあ,expert,22,,702,,,,,,,2020-10-02
365,73,ニア,にあ,master,27,,841,,,,,,,2020-10-02
366,74,独りんぼエンヴィー,ひとりんぼえんヴぃー,easy,6,,74,,,,,,,2020-12-14
367,74,独りんぼエンヴィー,ひとりんぼえんヴぃー,normal,11,,171,,,,,,,2020-12-14
368,74,独りんぼエンヴィー,ひとりんぼえんヴぃー,hard,16,,356,,,,,,,2020-12-14
369,74,独りんぼエンヴィー,ひとりんぼえんヴぃー,expert,22,,544,,,,,,,2020-12-14
370,74,独りんぼエンヴィー,ひとりんぼえんヴぃー,master,26,,589,,,,,,,2020-12-14
371,75,ウミユリ海底譚,うみゆりかいていたん,easy,6,,119,,,,,,,2020-12-01
372,75,ウミユリ海底譚,うみゆりかいていたん,normal,13,,287,,,,,,,2020-12-01
373,75,ウミユリ海底譚,うみゆりかいていたん,hard,17,,497,,,,,,,2020-12-01
374,75,ウミユリ海底譚,うみゆりかいていたん,expert,23,,737,,,,,,,2020-12-01
375,75,ウミユリ海底譚,うみゆりかいていたん,master,28,,833,,,,,,,2020-12-01
376,76,セカイ,せかい,easy,6,,143,,,,,,,2019-06-10
377,76,セカイ,せかい,normal,12,,400,,,,,,,2019-06-10
378,76,セカイ,せかい,hard,18,,549,,,,,,,2019-06-10
379,76,セカイ,せかい,expert,23,,735,,,,,,,2019-06-10
380,76,セカイ,せかい,master,27,,858,,,,,,,2019-06-10
4079,76,セカイ,せかい,append,28,,945,,,,,,,2019-06-10
381,77,ワーワーワールド,わーわーわーるど,easy,7,,127,,,,,,,2019-06-10
382,77,ワーワーワールド,わーわーわーるど,normal,12,,343,,,,,,,2019-06-10
383,77,ワーワーワールド,わーわーわーるど,hard,17,,519,,,,,,,2019-06-10
384,77,ワーワーワールド,わーわーわーるど,expert,24,,789,,,,,,,2019-06-10
385,77,ワーワーワールド,わーわーわーるど,master,29,,960,,,,,,,2019-06-10
4096,77,ワーワーワールド,わーわーわーるど,append,29,,1170,,,,,,,2019-06-10
386,78,ぼうけんのしょがきえました！,ぼうけんのしょがきえました,easy,8,,278,,,,,,,2019-06-10
387,78,ぼうけんのしょがきえました！,ぼうけんのしょがきえました,normal,13,,472,,,,,,,2019-06-10
388,78,ぼうけんのしょがきえました！,ぼうけんのしょがきえました,hard,19,,711,,,,,,,2019-06-10
389,78,ぼうけんのしょがきえました！,ぼうけんのしょがきえました,expert,26,,951,,,,,,,2019-06-10
390,78,ぼうけんのしょがきえました！,ぼうけんのしょがきえました,master,31,,1092,,,,,,,2019-06-10
401,81,夜咄ディセイブ,よばなしでぃせいぶ,easy,8,,184,,,,,,,2020-10-09
402,81,夜咄ディセイブ,よばなしでぃせいぶ,normal,14,,424,,,,,,,2020-10-09
403,81,夜咄ディセイブ,よばなしでぃせいぶ,hard,19,,851,,,,,,,2020-10-09
404,81,夜咄ディセイブ,よばなしでぃせいぶ,expert,26,,1165,,,,,,,2020-10-09
405,81,夜咄ディセイブ,よばなしでぃせいぶ,master,30,,1311,,,,,,,2020-10-09
406,82,alive,あらいぶ,easy,6,,134,,,,,,,2019-06-10
407,82,alive,あらいぶ,normal,11,,341,,,,,,,2019-06-10
408,82,alive,あらいぶ,hard,16,,593,,,,,,,2019-06-10
409,82,alive,あらいぶ,expert,23,,804,,,,,,,2019-06-10
410,82,alive,あらいぶ,master,27,,1016,,,,,,,2019-06-10
411,83,Gimme×Gimme,ぎみぎみ,easy,6,,137,,,,,,,2020-10-10
412,83,Gimme×Gimme,ぎみぎみ,normal,11,,348,,,,,,,2020-10-10
413,83,Gimme×Gimme,ぎみぎみ,hard,18,,613,,,,,,,2020-10-10
414,83,Gimme×Gimme,ぎみぎみ,expert,26,,842,,,,,,,2020-10-10
415,83,Gimme×Gimme,ぎみぎみ,master,29,,907,,,,,,,2020-10-10
416,84,ジャンキーナイトタウンオーケストラ,じゃんきーないとたうんおーけすとら,easy,6,,152,,,,,,,2020-10-12
417,84,ジャンキーナイトタウンオーケストラ,じゃんきーないとたうんおーけすとら,normal,13,,465,,,,,,,2020-10-12
418,84,ジャンキーナイトタウンオーケストラ,じゃんきーないとたうんおーけすとら,hard,18,,740,,,,,,,2020-10-12
419,84,ジャンキーナイトタウンオーケストラ,じゃんきーないとたうんおーけすとら,expert,26,,1070,,,,,,,2020-10-12
420,84,ジャンキーナイトタウンオーケストラ,じゃんきーないとたうんおーけすとら,master,31,,1374,,,,,,,2020-10-12
421,85,Leia - Remind,れいありまいんど,easy,9,,183,,,,,,,2020-10-19
422,85,Leia - Remind,れいありまいんど,normal,13,,372,,,,,,,2020-10-19
423,85,Leia - Remind,れいありまいんど,hard,18,,587,,,,,,,2020-10-19
424,85,Leia - Remind,れいありまいんど,expert,25,,970,,,,,,,2020-10-19
425,85,Leia - Remind,れいありまいんど,master,29,,1155,,,,,,,2020-10-19
426,86,on the rocks,おんざろっくす,easy,7,,169,,,,,,,2020-10-14
427,86,on the rocks,おんざろっくす,normal,11,,425,,,,,,,2020-10-14
428,86,on the rocks,おんざろっくす,hard,16,,565,,,,,,,2020-10-14
429,86,on the rocks,おんざろっくす,expert,23,,857,,,,,,,2020-10-14
430,86,on the rocks,おんざろっくす,master,27,,1004,,,,,,,2020-10-14
431,87,恋愛裁判,れんあいさいばん,easy,6,,174,,,,,,,2020-12-30
432,87,恋愛裁判,れんあいさいばん,normal,12,,447,,,,,,,2020-12-30
433,87,恋愛裁判,れんあいさいばん,hard,17,,591,,,,,,,2020-12-30
434,87,恋愛裁判,れんあいさいばん,expert,22,,889,,,,,,,2020-12-30
435,87,恋愛裁判,れんあいさいばん,master,28,,1149,,,,,,,2020-12-30
436,88,チュルリラ・チュルリラ・ダッダッダ！,ちゅるりらちゅるりらだっだっだ,easy,9,,297,,,,,,,2021-01-03
437,88,チュルリラ・チュルリラ・ダッダッダ！,ちゅるりらちゅるりらだっだっだ,normal,13,,516,,,,,,,2021-01-03
438,88,チュルリラ・チュルリラ・ダッダッダ！,ちゅるりらちゅるりらだっだっだ,hard,18,,882,,,,,,,2021-01-03
439,88,チュルリラ・チュルリラ・ダッダッダ！,ちゅるりらちゅるりらだっだっだ,expert,26,,1246,,,,,,,2021-01-03
440,88,チュルリラ・チュルリラ・ダッダッダ！,ちゅるりらちゅるりらだっだっだ,master,31,,1401,,,,,,,2021-01-03
441,89,Color of Drops,からーおぶどろっぷす,easy,6,,182,,,,,,,2021-01-29
442,89,Color of Drops,からーおぶどろっぷす,normal,12,,392,,,,,,,2021-01-29
443,89,Color of Drops,からーおぶどろっぷす,hard,16,,537,,,,,,,2021-01-29
444,89,Color of Drops,からーおぶどろっぷす,expert,23,,796,,,,,,,2021-01-29
445,89,Color of Drops,からーおぶどろっぷす,master,28,,918,,,,,,,2021-01-29
4047,89,Color of Drops,からーおぶどろっぷす,append,26,,1028,,,,,,,2021-01-29
446,90,限りなく灰色へ,かぎりなくはいいろへ,easy,6,,108,,,,,,,2021-02-26
447,90,限りなく灰色へ,かぎりなくはいいろへ,normal,12,,227,,,,,,,2021-02-26
