chart_id,title,play_level,A,B,result,how
390,ぼうけんのしょがきえました！,31,31.8,最上位,31.8,match
405,夜咄ディセイブ,30,30.9,適正,30.7,avg
410,alive,27,27.8,上位,27.8,match
415,Gimme×Gimme,29,29.7,最上位,29.8,avg
420,ジャンキーナイトタウンオーケストラ,31,31.9,適正,31.7,avg
425,Leia - Remind,29,29.5,適正,29.5,match
430,on the rocks,27,27.5,下位,27.4,avg
435,恋愛裁判,28,28.6,適正,28.6,match
440,チュルリラ・チュルリラ・ダッダッダ！,31,31.8,上位,31.8,match
445,Color of Drops,28,28.9,上位,28.8,avg
450,限りなく灰色へ,31,31.3,下位,31.3,match
455,ドラマツルギー,29,29.5,上位,29.6,avg
460,乙女解剖,28,28.8,上位,28.8,match
465,青く駆けろ！,27,27.6,上位,27.6,match
470,とても痛い痛がりたい,28,28.7,最上位,28.8,avg
475,威風堂々,28,28.6,最上位,28.7,avg
480,from Y to Y,27,27.6,適正,27.6,match
485,霽れを待つ,31,31.5,最下位,31.3,avg
490,ロストワンの号哭,33,33.5,適正,33.5,match
495,モア！ジャンプ！モア！,31,31.5,適正,31.5,match
500,ECHO,26,26.5,最上位,26.7,avg
505,RAD DOGS,30,30.6,上位,30.6,match
510,幽霊東京,27,27.9,最上位＋,27.9,match
515,ニジイロストーリーズ,29,29.6,最上位,29.7,avg
520,サンドリヨン 10th Anniversary,29,29.9,最上位,29.9,match
525,ワンスアポンアドリーム,28,28.5,上位,28.6,avg
530,お気に召すまま,29,29.9,適正,29.7,avg
535,ミルククラウン・オン・ソーネチカ,30,30.8,最上位,30.8,match
540,愛されなくても君がいる,27,27.7,最上位,27.8,avg
545,ヒビカセ,28,28.7,上位,28.7,match
550,千本桜,32,32.4,適正,32.4,match
555,カトラリー,29,29.6,上位,29.6,match
560,天使のクローバー,31,31.6,適正,31.6,match
565,ローリンガール,31,31.7,適正,31.6,avg
570,裏表ラバーズ,30,30.8,適正,30.7,avg
575,アンノウン・マザーグース,30,30.7,上位,30.7,match
580,アイディスマイル,28,28.6,適正,28.6,match
585,ODDS＆ENDS,29,29.7,上位,29.7,match
590,＊ハロー、プラネット。,29,29.6,最上位,29.7,avg
595,ワールズエンド・ダンスホール,30,30.9,上位,30.8,avg
600,いかないで,29,29.7,最上位,29.8,avg
605,ロミオとシンデレラ,28,28.7,適正,28.6,avg
610,ポジティブ☆ダンスタイム,31,31.9,上位,31.8,avg
615,どりーみんチュチュ,27,27.8,最上位,27.8,match
620,みくみくにしてあげる♪【してやんよ】,28,28.6,上位,28.6,match
625,ボッカデラベリタ,29,29.9,最上位,29.9,match
630,シネマ,29,29.8,最上位,29.8,match
635,トンデモワンダーズ,32,32.6,最上位,32.7,avg
640,Brand New Day,32,32.7,最上位,32.8,avg
645,ビターチョコデコレーション,32,32.3,適正,32.4,avg
650,フロムトーキョー,28,28.6,適正,28.6,match
655,初音ミクの激唱,34,34.9,最上位,34.9,match
660,「１」,27,27.4,下位,27.4,match
665,悪魔の踊り方,31,31.5,下位,31.4,avg
670,テレキャスタービーボーイ,29,29.7,適正,29.6,avg
675,六兆年と一夜物語,35,35.6,下位,35.5,avg
680,チルドレンレコード,32,32.6,適正,32.6,match
685,花を唄う,30,30.6,最上位,30.7,avg
690,KING,30,30.6,適正,30.6,match
695,夜に駆ける,30,30.4,適正,30.4,match
700,アイスドロップ,27,27.7,上位,27.7,match
705,群青讃歌,27,27.5,上位,27.6,avg
710,再生,26,26.3,最上位,26.6,avg
715,トラフィック・ジャム,28,28.9,上位,28.8,avg
720,アイノマテリアル,26,26.7,適正,26.6,avg
725,ベノム,29,29.8,上位,29.8,match
730,リモコン,29,29.2,下位,29.2,match
735,からくりピエロ,27,27.6,上位,27.6,match
740,ray,26,26.6,適正,26.6,match
745,カナデトモスソラ,26,26.9,最上位,26.9,match
750,トキヲ・ファンカ,28,28.8,上位,28.8,match
755,泡沫未来,30,30.8,適正,30.7,avg
760,だれかの心臓になれたなら,29,29.9,上位,29.8,avg
765,Miku,29,29.4,上位,29.5,avg
770,地球最後の告白を,31,31.8,最上位,31.8,match
775,心拍数♯0822,27,27.5,下位,27.4,avg
780,Beat Eater,29,29.7,上位,29.7,match
785,マシュマリー,29,29.6,上位,29.6,match
790,ナンセンス文学,29,29.6,適正,29.6,match
795,STAGE OF SEKAI,30,30.6,上位,30.6,match
800,ショウタイム・ルーラー,31,31.8,適正,31.7,avg
805,magic number,30,30.6,上位,30.6,match
810,エンドマークに希望と涙を添えて,35,35.6,適正,35.6,match
815,the EmpErroR,36,36.0,,36.0,A-only
820,Don't Fight The Music,35,35.9,最上位,35.9,match
825,そうだった！！,31,31.5,適正,31.5,match
830,Glory Steady Go!,30,30.7,上位,30.7,match
835,オルターエゴ,31,31.8,最上位,31.8,match
840,ダーリンダンス,30,30.5,適正,30.5,match
845,少女レイ,27,27.4,上位,27.5,avg
850,ヴィラン,29,29.7,上位,29.7,match
855,カゲロウデイズ,31,31.8,最上位,31.8,match
860,Happy Halloween,31,31.6,適正,31.6,match
865,流星のパルス,31,31.4,適正,31.4,match
870,いーあるふぁんくらぶ,28,28.5,適正,28.5,match
875,拝啓ドッペルゲンガー,32,32.9,最上位,32.9,match
880,マシンガンポエムドール,35,35.9,上位,35.8,avg
885,右肩の蝶,31,31.6,下位,31.5,avg
890,にっこり^^調査隊のテーマ,31,31.5,適正,31.5,match
895,炉心融解,27,27.7,最上位,27.8,avg
900,ミライ,28,28.6,適正,28.6,match
905,愛して愛して愛して,28,28.7,上位,28.7,match
910,Flyer!,29,29.4,適正,29.4,match
915,フィクサー,32,32.3,最下位,32.2,avg
920,"Hello,world!",29,29.7,適正,29.6,avg
925,しっくおぶはうす！,30,30.7,最上位,30.8,avg
930,初音天地開闢神話,33,33.8,上位,33.8,match
935,ロウワー,31,31.3,,31.3,A-only
940,心予報,28,28.7,適正,28.6,avg
945,ノマド,26,26.6,上位,26.6,match
950,悪ノ娘,27,27.4,下位,27.4,match
955,悪ノ召使,27,27.4,最下位,27.3,avg
960,去り人達のワルツ,28,28.5,下位,28.4,avg
965,ワールドワイドワンダー,28,28.7,最上位,28.8,avg
970,妄想感傷代償連盟,27,27.5,上位,27.6,avg
975,PaⅢ.SENSATION,29,29.7,上位,29.7,match
980,オーダーメイド,26,26.3,適正,26.4,avg
985,ラストスコア,30,30.6,上位,30.6,match
990,グッバイ宣言,30,30.5,上位,30.6,avg
995,ゴーストルール,33,33.5,上位,33.6,avg
1000,ガランド,28,28.6,最上位,28.7,avg
1005,神のまにまに,29,29.7,適正,29.6,avg
1010,Q,28,28.4,下位,28.4,match
1015,トリコロージュ,28,28.7,最上位,28.8,avg
1020,うっせぇわ,28,28.4,上位,28.5,avg
1025,踊,29,29.8,上位,29.8,match
1030,君色マリンスノウ,31,31.5,最上位,31.7,avg
1035,Peaky Peaky,28,28.6,最上位,28.7,avg
1040,僕らまだアンダーグラウンド,28,28.7,上位,28.7,match
1045,メタモリボン,26,26.5,下位,26.4,avg
1050,雨とペトラ,29,29.3,下位,29.3,match
1055,イフ,27,27.4,下位,27.4,match
1060,星空のメロディー,27,27.6,下位,27.5,avg
1065,ヴァンパイア,30,30.5,下位,30.4,avg
1070,パレットには君がいっぱい,28,28.6,最上位,28.7,avg
1075,ジウダス,28,28.6,適正,28.6,match
1080,ルカルカ★ナイトフィーバー,29,29.5,適正,29.5,match
1085,街,27,27.5,下位,27.4,avg
1090,メリュー,26,26.5,上位,26.6,avg
1095,砂の惑星,27,27.5,適正,27.5,match
1100,ドーナツホール 2024,29,29.7,上位,29.7,match
1105,マトリョシカ,30,30.3,下位,30.3,match
1110,ピアノ×フォルテ×スキャンダル,30,30.5,下位,30.4,avg
1115,千年の独奏歌,27,27.6,適正,27.6,match
1120,88☆彡,29,29.5,最上位,29.7,avg
1125,エゴロック,31,31.7,最上位,31.8,avg
1130,ロストエンファウンド,29,29.5,最上位,29.7,avg
1135,ONESELF,30,30.4,上位,30.5,avg
1140,Goodbye,26,26.0,最下位,26.0,match
1145,脳漿炸裂ガール,32,32.6,最上位,32.7,avg
1150,サラマンダー,30,30.5,上位,30.6,avg
1155,アイデンティティ,31,31.1,下位,31.2,avg
1160,青色絵具,27,27.6,適正,27.6,match
1165,コスモスパイス,31,31.7,適正,31.6,avg
1170,徳川カップヌードル禁止令,31,31.6,最上位,31.7,avg
1175,Journey,29,29.5,上位,29.6,avg
1180,Voices,30,30.4,適正,30.4,match
1185,君の夜をくれ,26,26.8,上位,26.8,match
1190,ブラック★ロックシューター,27,27.4,適正,27.4,match
1195,月光,29,29.5,上位,29.6,avg
1200,踊れオーケストラ,28,28.5,適正,28.5,match
1210,トリノコシティ,27,27.5,下位,27.4,avg
1215,Calc.,30,30.4,適正,30.4,match
1220,Awake Now,30,30.2,適正,30.4,avg
1225,阿吽のビーツ,29,29.5,上位,29.6,avg
1230,エイリアンエイリアン,29,29.5,適正,29.5,match
1235,Copycat,26,26.0,下位,26.2,avg
1240,バグ,32,32.2,下位,32.2,match
1245,ぼくらの16bit戦争,33,33.5,最上位,33.7,avg
1250,腐れ外道とチョコレゐト,35,35.8,適正,35.7,avg
1255,フロイライン＝ビブリォチカ,31,31.6,最上位,31.7,avg
1260,DREAM PLACE,29,29.7,適正,29.6,avg
1265,DAYBREAK FRONTLINE,29,29.4,上位,29.5,avg
1270,未完成讃歌,31,31.5,適正,31.5,match
1275,夜もすがら君想ふ,28,28.4,下位,28.4,match
1280,ダブルラリアット,27,27.3,下位,27.3,match
1285,てらてら,30,30.5,上位,30.6,avg
1290,深海少女,27,27.5,最上位,27.7,avg
1295,the WALL,30,30.6,上位,30.6,match
1300,ラブカ？,29,29.6,適正,29.6,match
1305,星屑ユートピア,30,30.7,適正,30.6,avg
1310,帝国少女,28,28.7,上位,28.7,match
1315,Highlight,28,28.4,下位,28.4,match
1320,パラソルサイダー,30,30.5,最上位,30.7,avg
1325,Change me,28,28.5,適正,28.5,match
1330,YY,29,29.8,最上位,29.8,match
1335,仮死化,28,28.3,上位,28.5,avg
1340,ノンブレス・オブリージュ,31,31.4,適正,31.4,match
1345,ロンリーユニバース,27,27.4,適正,27.4,match
1350,泥中に咲く,26,26.4,適正,26.4,match
1355,あったかいと,29,29.4,適正,29.4,match
1360,ジェヘナ,31,31.5,適正,31.5,match
1365,フューチャー・イヴ,32,32.7,最上位,32.8,avg
1370,それでもいいんだよ,29,29.6,最上位,29.7,avg
1375,パラジクロロベンゼン,28,28.6,適正,28.6,match
1380,シャンティ,30,30.6,上位,30.6,match
1385,フォニイ,29,29.5,最上位,29.7,avg
1390,Bad ∞ End ∞ Night,29,29.7,適正,29.6,avg
1395,こちら、幸福安心委員会です。,28,28.5,適正,28.5,match
1400,虚ろを扇ぐ,27,27.3,下位,27.3,match
1405,気まぐれメルシィ,31,31.6,適正,31.6,match
1410,星空オーケストラ,29,29.6,適正,29.6,match
1415,レイニースノードロップ,30,30.5,適正,30.5,match
1420,インビジブル,32,32.5,上位,32.6,avg
1425,ÅMARA(大未来電脳),34,34.4,適正,34.4,match
1430,"Hello, Worker",28,28.6,適正,28.6,match
1435,私は、私達は,27,27.4,適正,27.4,match
1440,アンハッピーリフレイン,31,31.5,適正,31.5,match
1445,天ノ弱,29,29.5,最上位,29.7,avg
1455,フェレス,30,30.5,適正,30.5,match
1460,いちにのさんで,26,26.4,最上位,26.6,avg
1465,アイロニ,28,28.6,最上位,28.7,avg
1470,それがあなたの幸せとしても,26,26.7,上位,26.7,match
1475,フロート・プランナー,27,27.5,上位,27.6,avg
1480,カンタレラ,29,29.8,上位,29.8,match
1485,p.h.,29,29.5,適正,29.5,match
1490,ネトゲ廃人シュプレヒコール,31,31.8,上位,31.8,match
1495,エゴイスト,31,31.5,上位,31.6,avg
1500,ザムザ,30,30.5,適正,30.5,match
1505,私の恋はヘルファイア,31,31.5,適正,31.5,match
1510,フレー,30,30.6,最上位,30.7,avg
1515,リンちゃんなう！,30,30.6,適正,30.6,match
1520,Iなんです,31,31.6,適正,31.6,match
1525,ストロボラスト,28,28.5,適正,28.5,match
1530,1925,28,28.6,上位,28.6,match
1535,おこちゃま戦争,31,31.6,適正,31.6,match
1540,ももいろの鍵,31,31.8,上位,31.8,match
1545,Afterglow,27,27.3,上位,27.5,avg
1550,Flyway,29,29.5,上位,29.6,avg
1555,夜明けと蛍,26,26.5,適正,26.5,match
1560,ココロ,28,28.7,最上位,28.8,avg
1565,FREELY TOMORROW,29,29.4,下位,29.4,match
1570,陽だまりのセツナ,28,28.6,上位,28.6,match
1575,What's up? Pop!,37,37.8,,37.8,A-only
1580,ひつじがいっぴき,28,28.6,上位,28.6,match
1585,魔法みたいなミュージック！,31,31.5,適正,31.5,match
1590,Sharing The World,27,27.3,下位,27.3,match
1595,Decade,30,30.2,上位,30.5,avg
1600,Booo!,29,29.6,上位,29.6,match
1605,アトラクトライト,30,30.4,適正,30.4,match
1610,絶え間なく藍色,28,28.5,適正,28.5,match
1615,快晴,29,29.6,最上位,29.7,avg
1620,箱庭のコラル,27,27.5,適正,27.5,match
1625,豚になってyeah yeah,28,28.5,上位,28.6,avg
1630,天使の翼。,28,28.7,最上位,28.8,avg
1635,SnowMix♪,30,30.5,最上位,30.7,avg
1640,星界ちゃんと可不ちゃんのおつかい合騒曲,32,32.9,最上位,32.9,match
1645,ヤミナベ!!!!,37,37.9,,37.9,A-only
1650,インタビュア,26,26.4,上位,26.5,avg
1655,39,29,29.3,下位,29.3,match
1660,エピローグに君はいない,26,26.2,下位,26.2,match
1665,Mr. Showtime,31,31.7,適正,31.6,avg
1670,Vampire's ∞ pathoS,31,31.6,適正,31.6,match
1675,トラッシュ・アンド・トラッシュ！,31,31.5,適正,31.5,match
1680,Be The MUSIC!,29,29.5,適正,29.5,match
1685,METEOR,30,30.4,下位,30.4,match
1690,Where shall we go?,26,26.3,最下位,26.2,avg
1695,glow,26,26.6,適正,26.6,match
1700,とても素敵な六月でした,29,29.3,下位,29.3,match
1705,難聴系男子が倒せない,30,30.5,下位,30.4,avg
1710,Blue Star,29,29.4,適正,29.4,match
1715,スノーマン,29,29.8,最上位,29.8,match
1720,脳内革命ガール,31,31.2,下位,31.2,match
1725,演劇,28,28.2,最下位,28.2,match
1730,嗚呼、素晴らしきニャン生,29,29.9,最上位,29.9,match
1735,円尾坂の仕立屋,28,28.5,適正,28.5,match
1740,悪徳のジャッジメント,28,28.5,下位,28.4,avg
1745,悪食娘コンチータ,29,29.3,適正,29.4,avg
1750,眠らせ姫からの贈り物,27,27.6,適正,27.6,match
1755,相生,26,26.4,上位,26.5,avg
1760,命ばっかり,28,28.6,上位,28.6,match
1765,キティ,31,31.4,最下位,31.3,avg
1770,セツナトリップ,32,32.9,最上位,32.9,match
1775,白い雪のプリンセスは,29,29.5,最上位,29.7,avg
1780,リアライズ,29,29.4,上位,29.5,avg
1785,ブループラネット,30,30.5,適正,30.5,match
1790,心做し,26,26.1,最下位,26.1,match
1795,名も無き革命,29,29.4,上位,29.5,avg
1800,太陽系デスコ,28,28.2,下位,28.2,match
1805,きゅうくらりん,31,31.3,適正,31.4,avg
1810,Wonder Style,28,28.4,下位,28.4,match
1815,UNDERWATER,29,29.1,下位,29.2,avg
1820,エターナルアリア,30,30.7,上位,30.7,match
1825,恋は戦争,27,27.1,適正,27.3,avg
1830,NEO,29,29.1,最下位,29.1,match
1835,すきなことだけでいいです,31,31.4,適正,31.4,match
1840,アイムマイン,29,29.3,上位,29.5,avg
1845,メランコリック,27,27.3,下位,27.3,match
1850,人生,37,37.8,,37.8,A-only
1860,天樂,29,29.4,上位,29.5,avg
1865,下剋上,30,30.2,下位,30.2,match
1870,チームメイト,30,30.3,下位,30.3,match
1875,星を繋ぐ,28,28.3,適正,28.4,avg
1880,我儘姫,30,30.6,下位,30.5,avg
1885,悪役にキスシーンを,29,29.4,適正,29.4,match
1890,スロウダウナー,30,30.4,適正,30.4,match
1895,ずんだパーリナイ,31,31.4,上位,31.5,avg
1900,スターダストメドレー,30,30.6,最上位,30.7,avg
1905,新人類,31,31.3,適正,31.4,avg
1910,心拍ペアリング,28,28.6,適正,28.6,match
1915,purpose,28,28.5,下位,28.4,avg
1920,トワイライトライト,26,26.5,最上位,26.7,avg
1925,神っぽいな,29,29.3,適正,29.4,avg
1930,キラピピ★キラピカ,27,27.3,適正,27.4,avg
1935,Hello Builder,29,29.5,適正,29.5,match
1950,Dear,28,28.5,上位,28.6,avg
1955,キュートなカノジョ,30,30.3,最下位,30.2,avg
1960,春嵐,30,30.5,適正,30.5,match
1965,Un-Lock,28,28.8,上位,28.8,match
1970,ボトルケーキ,28,28.4,適正,28.4,match
1975,サマータイムレコード,28,28.3,適正,28.4,avg
1980,東京テディベア,31,31.4,上位,31.5,avg
1985,フィラメントフィーバー,29,29.3,下位,29.3,match
1990,Beyond the way,28,28.3,下位,28.3,match
1995,Disco No.39,30,30.8,最上位,30.8,match
2000,我らステインバスターズ！,28,28.5,適正,28.5,match
2005,まにまに,29,29.4,適正,29.4,match
2010,エンヴィーベイビー,28,28.4,下位,28.4,match
2015,番凩,27,27.7,適正,27.6,avg
2020,blender,27,27.5,上位,27.6,avg
2025,MOTTO!!!,27,27.1,最下位,27.1,match
2030,ARQETYPE,31,31.5,下位,31.4,avg
2035,初めての恋が終わる時,29,29.2,下位,29.2,match
2040,CIRCUS PANIC!!!,32,32.7,上位,32.7,match
2045,25時の情熱,25,25.9,上位,25.8,avg
2050,マーシャル・マキシマイザー,29,29.2,最下位,29.2,match
2055,世界を照らすテトラッド,31,31.5,下位,31.4,avg
2060,デビルじゃないもん,29,29.5,適正,29.5,match
2065,さよならプリンセス,30,30.2,下位,30.2,match
2070,HERO,31,31.6,上位,31.6,match
2075,ラッキー☆オーブ,28,28.5,適正,28.5,match
2080,limbo,31,31.5,適正,31.5,match
2085,くうになる,29,29.4,適正,29.4,match
2090,金木犀,29,29.3,最下位,29.2,avg
2100,imaginary love story,31,31.3,適正,31.4,avg
2105,CR詠ZY,28,28.5,最上位,28.7,avg
2110,JUMPIN’ OVER !,28,28.4,上位,28.5,avg
2115,レグルス,29,29.2,下位,29.2,match
2120,インテグラル,28,28.2,最下位,28.2,match
2125,Cool Me Down,29,29.0,下位,29.2,avg
2130,On&On,27,27.2,最下位,27.2,match
2135,幽光、1/fのゆらめき,29,29.3,下位,29.3,match
2140,ときめきジェットコースター,31,31.4,下位,31.4,match
2145,はぐ,29,29.1,最下位,29.1,match
2150,『んっあっあっ。』,28,28.2,最下位,28.2,match
2155,flos,27,27.3,適正,27.4,avg
2160,強風オールバック,28,28.3,下位,28.3,match
2165,ヒアソビ,31,31.5,下位,31.4,avg
2170,1000年生きてる,28,28.4,下位,28.4,match
2175,リレイアウター,30,30.2,下位,30.2,match
2180,古書屋敷殺人事件,28,28.4,適正,28.4,match
2185,え？あぁ、そう。,30,30.3,上位,30.5,avg
2190,ハイドアンド・シーク,28,28.0,最下位,28.0,match
2195,一千光年,30,30.3,下位,30.3,match
2200,ショウタイム×オーディエンス,30,30.4,下位,30.4,match
2205,酔いどれ知らず,28,28.5,適正,28.5,match
2210,すれすれ,26,26.5,下位,26.4,avg
2215,林檎売りの泡沫少女,28,28.6,下位,28.5,avg
2220,心泥夢(syndrome),31,31.8,下位,31.6,avg
2225,Twilight Melody,28,28.3,適正,28.4,avg
2230,オーバーコード,30,30.4,上位,30.5,avg
2235,folern,32,32.4,適正,32.4,match
2240,Sage,32,32.3,下位,32.3,match
2245,MarbleBlue.,33,33.6,上位,33.6,match
2250,オペラ！スペースオペラ！,30,30.5,最上位,30.7,avg
2255,熱異常,32,32.3,,32.3,A-only
2260,サイバーパンクデッドボーイ,30,30.3,下位,30.3,match
2270,えれくとりっく・えんじぇぅ,29,29.2,最下位,29.2,match
2275,ド屑,28,28.4,適正,28.4,match
2280,幾望の月,29,29.4,上位,29.5,avg
2285,Supernova,28,28.2,上位,28.5,avg
2290,抜錨,28,28.8,最上位,28.8,match
2300,LEADER,28,28.5,下位,28.4,avg
2305,おどロボ,29,29.2,最下位,29.2,match
2310,レッドランドマーカー,29,29.3,上位,29.5,avg
2315,ハッピーチートデー,26,26.3,下位,26.3,match
2320,Intergalactic Bound,26,26.4,適正,26.4,match
2325,嬢王,33,33.4,下位,33.4,match
2330,ガーネットの涙,28,28.3,下位,28.3,match
2335,あいのうた,29,29.3,下位,29.3,match
2340,十六歳の心臓,31,31.1,最下位,31.1,match
2345,ラグトレイン,27,27.3,下位,27.3,match
2350,ハジメテノオト,26,26.4,最下位,26.3,avg
2355,ULTRA C,28,28.4,適正,28.4,match
2360,成敗いたAAAAAす！,31,31.5,適正,31.5,match
2365,マインドブランド,28,28.6,上位,28.6,match
2370,キラー,31,31.3,下位,31.3,match
2375,ちがう!!!,31,31.5,下位,31.4,avg
2380,Shadow Shadow,27,27.0,最下位,27.0,match
2385,モザイクロール (Reloaded),29,29.5,最上位,29.7,avg
2390,フューエル,29,29.3,下位,29.3,match
2400,おちゃめ機能,30,30.1,最下位,30.1,match
2405,明鏡止水,28,28.3,上位,28.5,avg
2410,だめにんげんだ!,30,30.2,適正,30.4,avg
2415,アコトバ,29,29.2,最下位,29.2,match
2420,Henceforth,29,29.3,下位,29.3,match
2425,だんだん早くなる,28,28.5,適正,28.5,match
2430,おぎゃりないざー,34,34.7,下位,34.5,avg
2435,ダイジョブですか？,34,34.5,適正,34.5,match
2440,メモリア,34,34.3,最下位,34.2,avg
2445,熱風,29,29.3,下位,29.3,match
2450,ルーマー,28,28.2,下位,28.2,match
2455,キャットラビング,30,30.1,最下位,30.1,match
2460,私は雨,28,28.2,下位,28.2,match
2465,きょうもハレバレ,28,28.7,上位,28.7,match
2470,ポッピンキャンディ☆フィーバー！,31,31.5,下位,31.4,avg
2475,スーパーヒーロー,29,29.5,下位,29.4,avg
2480,シルバーコレクター,32,32.1,下位,32.2,avg
2485,烈火,27,27.2,適正,27.4,avg
2490,はしる! とおく! とどく!,29,29.1,下位,29.2,avg
2495,混沌ブギ,30,30.2,適正,30.4,avg
2500,余花にみとれて,25,25.7,適正,25.6,avg
2505,Bad Apple!! feat.SEKAI,29,29.4,上位,29.5,avg
2510,"Help me, ERINNNNNN!!",30,30.2,下位,30.2,match
2515,超最終鬼畜妹フランドール・Ｓ,32,32.2,下位,32.2,match
2520,I know 愛脳.,31,31.5,適正,31.5,match
2525,コールボーイ,29,29.2,下位,29.2,match
2530,QUEEN,29,29.3,適正,29.4,avg
2535,エンパープル,29,29.3,下位,29.3,match
2540,ヘイヴン,30,30.4,適正,30.4,match
2545,ライアーダンサー,31,31.3,最下位,31.2,avg
2550,失敗作少女,29,29.3,下位,29.3,match
2555,如月アテンション,29,29.4,下位,29.4,match
2560,合成するミライ,30,30.6,上位,30.6,match
2565,CH4NGE,28,28.2,下位,28.2,match
2575,イガク,31,31.2,下位,31.2,match
2580,あちこちデートさん,30,30.4,適正,30.4,match
2585,メリーゴーラウンド,29,29.3,下位,29.3,match
2590,みかぼし,30,30.2,下位,30.2,match
2595,夏夜ノ唄,28,28.4,適正,28.4,match
2600,透明エレジー,30,30.2,下位,30.2,match
2605,オーバーライド,31,31.4,下位,31.4,match
2610,WAVE,28,28.6,最上位,28.7,avg
2615,きみとぼくのレゾナンス,28,28.2,下位,28.2,match
2620,それでも僕らは歌うことをやめない,30,30.1,下位,30.2,avg
2625,アンテナ39,30,30.4,下位,30.4,match
2630,彗星ノ銀河,26,26.4,適正,26.4,match
2635,Unpoison,28,28.5,適正,28.5,match
2645,カルチャ,28,28.3,下位,28.3,match
2650,キャットフード,28,28.5,上位,28.6,avg
2655,メズマライザー,31,31.4,上位,31.5,avg
2660,レイヤーノート,27,27.5,上位,27.6,avg
2665,転生林檎,29,29.3,下位,29.3,match
2670,ワールド・ランプシェード [reunion],30,30.5,上位,30.6,avg
2680,Fire◎Flower (Rerec),29,29.2,下位,29.2,match
2685,花に風,28,28.2,最下位,28.2,match
2690,オールセーブチャレンジ,30,30.3,適正,30.4,avg
2695,イレヴンス,27,27.4,適正,27.4,match
2700,虚無さん,29,29.2,下位,29.2,match
2705,メインキャラクター,29,29.3,下位,29.3,match
2710,Blackjack,31,31.0,最下位,31.0,match
2715,生命性シンドロウム,33,33.5,適正,33.5,match
2720,妄想アスパルテーム,30,30.2,下位,30.2,match
2725,脳天,27,27.1,適正,27.3,avg
2730,その音が鳴るなら,29,29.4,上位,29.5,avg
2735,終焉逃避行,29,29.4,適正,29.4,match
2740,ぼくのかみさま,28,28.3,下位,28.3,match
2745,化けの花,31,31.2,上位,31.5,avg
2750,shake it!,28,,下位,28.3,B-only
2755,ロストアンブレラ,30,30.3,上位,30.5,avg
2760,M@GICAL☆CURE! LOVE ♥ SHOT!,30,30.2,適正,30.4,avg
2765,パリィ,31,31.4,最下位,31.3,avg
2770,snooze,32,32.0,最下位,32.0,match
2775,フュージョン,30,30.2,下位,30.2,match
2780,サイハテ,28,28.2,下位,28.2,match
2785,花溺れ,29,29.4,下位,29.4,match
2790,のだ,30,30.3,最下位,30.2,avg
2795,おどりゃんせ,32,32.3,下位,32.3,match
2800,アイリッド,29,29.3,適正,29.4,avg
