難易度,曲名　　　　　　　　　　 　　  　　  　  (ギミック),,,,,,定数,地,密,瞬,究,終,技,計,　 BPM　 (跳),,演奏時間,ひとこと
,FALSE,ÅMARA(大未来電脳),,,敷,交,34.4,3,4,2,5,3,3,20,112-400,▲,2:31.55,なんか修正されて遅ズレが治ったとともに最高BPMを更新してしまった。研究にマジで命をかけよう
,FALSE,メモリア,ソ,敷,交,多,34.3,6,5,3,2,1,2,19,205,,2:33.95,2本指で本当にギリギリなんとかなる譜面。交互想定のデカノーツ配置もあるので完全多指も厳しい
33,FALSE,初音天地開闢神話,,,,,33.8,10,5,3,3,3,2,26,240,▲,2:56.25,譜面こそ素直なものの、とんでもない長さや物理難が災いするため持久力がないとしんどい
,FALSE,MarbleBlue.,,ソ,敷,交,33.6,8,4,5,3,1,2,23,198.22,,2:32.41,ラスト発狂が難しく、24分はほぼヤミナベ終盤16分くらいの速さ。ここだけでかなり個人差が生まれる
,FALSE,ぼくらの16bit戦争,,,,交,33.5+,4,3,2,5,5,3,22,122,,2:24.47,曲全体を通してエイム力や運指研究が必至。Bメロは同時押しの場所を覚えておくと崩れにくい
,FALSE,ゴーストルール,,,,,33.5+,6,5,3,5,1,2,22,210,,2:18.71,必要な地力やエイム力が旧32の中でも高いが、物量的には33の中でも中堅的な立ち位置に落ち着く
,FALSE,トレジャーガーデン,,ソ,敷,交,33.5,3,7,5,2,2,2,21,268,,2:04.70,基本最高BPMを更新。とにかくフィジカルに振られており、黄色連打が左始動なのが苦しいかも
,FALSE,生命性シンドロウム,,ソ,敷,交,33.5,5,7,4,1,2,2,21,225-270,,2:07.39,基本BPM225の圧倒的物量と同時押しの量...！！！いかにリズムキープしつつ対処できるかが鍵
,FALSE,ロストワンの号哭,,,,,33.5,6,4,2,5,2,2,21,162,,1:42.96,認識難譜面とはいえど、その上でしっかり地力やエイム要素がかなり重い。最後まで気が抜けない...
,FALSE,嬢王,,ソ,敷,交,33.4,6,5,5,2,1,1,20,150-200,,2:19.64,33の中では一番直感的に叩ける譜面。BPM300の16分相当13打やBPM400の16分5打混じりのラスト...
,FALSE,超ナイト・オブ・ナイツ,ソ,敷,交,多,33.4,5,5,3,3,1,3,20,193,,2:03.47,24分やフリックの要求量が尋常じゃない。高速D/N/A配置のアレ終点フリックなの勘弁して！！！！
,FALSE,プラネットヒーロー,,ソ,敷,交,33.4,7,6,3,1,1,2,20,200,,1:56.55,連打の中に紛れる4kや24分7打など難所はあるが、新レギュで認識難がほぼなく、とても素直な譜面
,FALSE,Internet Junk Junkie,,ソ,敷,多,33.2+,6,5,2,2,1,2,18,165-205,,2:00.29,8分フリックと縦連を見切る力があれば最低限の地力で突破できる。ボカロ音ゲーで鳴っていい音...？
,FALSE,天藍のアイスヘヴン,,,敷,交,33.2,4,5,4,2,1,1,17,214,,2:08.97,APを狙うのであれば間奏以外をまずすべて安定させるべし。33の中では求められる要素が少なめ
,FALSE,SAN値直葬,,,,敷,33.0,2,2,3,4,2,2,15,168-336,,2:22.72,譜面修正で最高BPMを抜かれた。要求地力は少なめで研究要素はズル可。336の16分が少々重い
32,FALSE,星界ちゃんと可不ちゃんのおつかい合騒曲,,,,,32.9+,8,7,5,2,3,4,29,220,,2:29.18,1サビのフリックは真上にめっちゃ動かすかすぐ離すかの2択。シンプルに忙しく体力勝負
,FALSE,拝啓ドッペルゲンガー,,,,,32.9+,10,6,5,3,2,2,28,181,△,2:27.35,六兆年のものとあまり速さが変わらない高速トリルや16分からの同時押しが多く、かなりの個人差
,FALSE,ヒバナ -Reloaded-,,,,,32.9,8,5,6,3,3,2,27,200,,1:33.00,初期からあった譜面にも関わらず、未だにあそこまでゴリゴリの5鍵指押しが飛んでくる32これだけ
,FALSE,セツナトリップ,,ソ,敷,交,32.9,8,5,5,3,3,2,26,145,,2:32.14,初披露より圧倒的に下方修正を食らい楽しさは増した。ラスサビのゴリ押しは強化されておりムズい
,FALSE,ドクター＝ファンクビート,,,,,32.7+,5,4,4,3,4,3,23,150,▲,2:01.20,本来BPMは300(ソース:作曲者本人)。とてもクセが強く間奏発狂はかなりの難易度を誇る
,FALSE,Brand New Day,,,,,32.7+,9,5,3,3,1,2,23,185,,2:08.11,ゴリ4kもマジで珍しいよ......認識難は様々な運指が見込めるので自分に合ったものを見つけよう
,FALSE,CIRCUS PANIC!!!,,,,ソ,32.7,6,4,6,2,2,2,22,136-166,◎,2:15.36,やはりラストのBPM249の16分相当25打がAPカッター。他もほぼほぼフィクサー同等の忙しさ
,FALSE,フューチャー・イヴ,,,,,32.7,7,5,4,3,1,2,22,190,,2:29.45,1サビ前やラストなど認識が難しい部分や24分、ラスサビの4k配置などさまざまな技術を要する
,FALSE,チルドレンレコード,,,,,32.6,5,6,3,3,3,1,21,210,,2:03.00,BPM210でやってはいけない高密度配置な上、単ノーツも混じるためなかなか視認が苦しい
,FALSE,脳漿炸裂ガール,,,,,32.6,4,4,3,5,3,2,21,155,,2:20.52,大会決勝初見曲。運指構築をすればするほど安定感自体は増すが、簡単というわけではマジでない
,FALSE,トンデモワンダーズ,,,,,32.6,4,3,4,4,4,2,21,160-180,,1:59.27,基本BPMは172。認識難+ゴリ押しの要素を持つ局所難は現環境だとかなりアホな配置になっている
,FALSE,インビジブル,,,,,32.5+,6,5,3,3,1,2,20,192,,2:17.97,32入門と言われていたが、ある程度の立場を確立している模様。間奏のスライドは端まで行く必要ナシ
,FALSE,テオ,,,,,32.5+,6,4,3,2,3,2,20,185,,1:48.97,32の中でも取り組みやすいほう...だったが、新レギュ譜面にかなりラクな譜面が増えてきた
,FALSE,千本桜,,,,,32.4+,3,2,1,4,5,3,18,154,,1:59.61,初期譜面のヤバさが下の譜面の追加によってかなり浮き彫りになってきた......小粒終点がマジでむずい
,FALSE,folern,,,,敷,32.4,4,4,4,2,1,2,17,200,,2:17.10,基本的にずっと物量をこなす譜面。下の譜面が拡充されたことにより、.4の格を得た
,FALSE,IMAWANOKIWA,,ソ,交,多,32.4,4,4,2,3,2,2,17,178,,2:12.47,サビに存在する混フレや、誘導に乗った上での認識難など、かなり総合力が求められる。20分連打も...
,FALSE,ウィーアーピコピコハンマーズ!!!!,ソ,敷,交,多,32.3+,4,5,2,2,2,1,16,202,,2:00.00,とにかく物量に振られており、間奏地帯のリズムも難しい。フィジカルさえあればなんとかなるかも
,FALSE,フィクサー,,,,,32.3+,5,4,2,1,2,2,16,135,◎,1:57.33,ロウワーの認識難をほぼ全てゴリ押しに変えましたみたいな譜面。忙しく微縦連が苦手だとキツい
,FALSE,ビターチョコデコレーション,,,,,32.3+,4,3,2,3,3,1,16,174,,2:04.83,くの字配置がかなり多く慣れるまで苦しい。だがマスターできれば多くの譜面で応用が可能となる
,FALSE,Sage,,,敷,交,32.3,2,2,3,3,3,2,15,145,,2:23.79,「譜面理解」がウルトラスーパーアルティメット物を言う譜面。長い24分は右手を軸に叩こう
,FALSE,熱異常,,,,ソ,32.3,3,4,2,2,1,3,15,183,,1:58.69,同じことをひたすら繰り返させられるゲシュタルト崩壊譜面。サビは癖がつくと非常にマズい
,FALSE,厨病激発ボーイ,,ソ,敷,交,32.3,4,4,2,2,1,2,15,180-190,,2:05.61,12分音符地帯だけBPMが10下がるぞ！！！配置自体はトレースフリック以外大体31でもよく見る
,FALSE,おどりゃんせ,,,,,32.3,4,4,2,2,2,1,15,172,,2:05.58,最近の譜面では珍しく、文字以外のギミックが全くない。地力配置は結構旧レギュ時代の片鱗を感じる
,FALSE,マンハッタン,,ソ,敷,交,32.2+,3,3,2,2,2,2,14,140,◎,2:06.86,中盤の演出暴れすぎ！24分微縦連は控えめに、認識が難しい交互押しは対策しておく必要がある
,FALSE,超最終鬼畜妹フランドール・Ｓ,,,,ソ,32.2+,3,4,3,1,2,1,14,210,,1:58.00,終盤は縦連がかなり混じってくるため、しっかりと物量耐性が求められる。配置自体はまあまあ素直
,FALSE,バグ,,,,,32.2+,2,1,2,3,3,3,14,186,,2:03.55,初見APが数名出ている事実こそバグです。少し仕様と戦う側面があり、後半の認識難の運指にも注意
,FALSE,プロトディスコ,,,ソ,敷,32.2,2,3,3,2,1,2,13,140,◎,2:05.14,BPM140の低速ハネの総合力が求められるイメージ。リズムの理解やロウワーもどき、微縦連が総動員
,FALSE,シルバーコレクター,,,ソ,交,32.1+,2,1,4,2,1,2,12,180,,2:06.67,ザ・爽快譜面。くの字4往復が存在するなど要求地力も高めだが、意外とその場のノリで凌げるかも
,FALSE,snooze,,ソ,敷,交,32.0,1,2,3,2,1,1,10,150,,2:01.60,例の縦連はトレースをなぞる手を覚えるべし。縦連や混フレも31までを順当にやれば対処可能なはず
31,FALSE,グリーンライツ・セレナーデ,,,,,31.9,10,6,4,2,2,2,26,200,,1:53.00,Omoi氏の曲両方むずい。テオほどのキツい配置というわけではないが物量が増えている
,FALSE,ポジティブ☆ダンスタイム,,,,,31.9,9,7,4,2,3,1,26,210,,1:49.14,むずくてネガティブ★台パンタイムになる。短ホールド絡みの配置は縦連を意識しよう
,FALSE,ジャンキーナイトタウンオーケストラ,,,,,31.9,8,4,4,3,5,2,26,145,,2:18.21,元30だが、現環境の曲を見ると31最上位というところまで登り詰めている。当時の30はおかしかった
,FALSE,カゲロウデイズ,,,,,31.8+,9,6,5,2,1,2,25,200,,2:18.60,全体的に見れば素直な地力譜面であるが局所でゴリ押しor指押しが求められる。あと長いしんどい
,FALSE,ネトゲ廃人シュプレヒコール,,,,,31.8+,10,6,2,3,3,1,25,175,,2:19.89,地力と譜面への対応力が求められる。2連打する指を決めておくのが攻略への最短ルート
,FALSE,オルターエゴ,,,,,31.8+,7,4,5,3,4,2,25,176,,2:26.93,転調前と転調後でハッキリと難易度が変わるように感じる。曲が結構長くてツラいポイントの一つ
,FALSE,地球最後の告白を,,,,,31.8+,7,5,5,4,2,2,25,140-190,,2:03.97,他の認識難配置とは一線を画している配置がある。他にも指押し推奨配置や最後の同時などの難所も
,FALSE,心泥夢(syndrome),,,,,31.8,5,5,4,2,5,3,24,123,◎,2:35.85,新レギュで.8が来たことに驚きを隠せない。低速ハネで最高峰の必要技術を誇り、リズム把握が重要
,FALSE,チュルリラ・チュルリラ・ダッダッダ！,,,,,31.8,5,4,4,4,4,3,24,220,◎,2:15.82,今思えばコイツが元30だったのが本当に信じられない......曲も長く局所に難しい配置がある
,FALSE,ショウタイム・ルーラー,,,,,31.8,7,5,5,2,3,2,24,204,,1:44.71,サビから難易度が上昇する結構前の譜面の典型例。終点は奥めに引っ張って遅めに離すのが吉
,FALSE,ぼうけんのしょがきえました！,,,,,31.8,9,5,5,2,1,2,24,176,,1:44.83,仕様変更により終点を取るのが圧倒的にラクに。どちらにしろくの字など高い地力は必要だが...
,FALSE,ももいろの鍵,,,,,31.8,7,4,5,3,3,2,24,165,,2:08.18,31の中でもとんでもなく異質なゴリ押しがある。抜錨やドレミファロンドなどの子分を従えている
,FALSE,コスモスパイス,,,,,31.7,8,4,3,2,3,3,23,165,,1:59.27,昇格によってガチのカップヌードル最難関へ。とにかく16分音符→同時が多すぎて苦手な人はマジで苦手
,FALSE,脱法ロック,,,,,31.7,7,4,4,3,2,3,23,155,,1:58.35,Q.脱法ロックは難しいですか？ A.はい。難しいです。圧倒的個人差があります。
,FALSE,Mr. Showtime,,,,,31.7,6,4,3,4,4,2,23,218,◎,2:13.21,BPM327の16分が大量に飛んでくるバケモン。譜面自体の癖も強く難解なリズムもある
,FALSE,ローリンガール,,,,,31.7,8,6,3,1,3,2,23,195,,1:57.69,もう一回、もう一回。とばかりに16分→同時をぶち込んでくる！イントロや間奏にもありえん非交互が
,FALSE,エゴロック,,,,,31.7,5,7,5,2,2,2,23,225,,1:48.80,純粋に速いが16分の連打は2回しか登場しないので、そこがかなり大きく試されるポイント
,FALSE,フロイライン＝ビブリォチカ,,,,,31.6+,6,4,5,3,2,2,22,185,,2:17.51,久々にかなりエグめの31到来。BPM370の16分3打が絡むラストのラッシュはかなり衝撃的
,FALSE,Iなんです,,,,,31.6+,8,5,3,2,2,2,22,92.5-185,△,1:41.35,MASTER譜面だけではBPM変化に気づけない...同時→3連打→同時の配置や間奏が厄介
,FALSE,気まぐれメルシィ,,,,,31.6+,5,5,5,2,1,4,22,160,,2:24.00,通常フリックと終点フリックの仕様の違いの理解力が試される。純粋に難しい連打も注意
,FALSE,電光刹歌,,,ソ,多,31.6+,6,5,5,2,1,3,22,207,,2:07.83,非交互or交差を強いられる連打やフリックラッシュが主な難所としてキツい。BPM207って速くて...
,FALSE,天使のクローバー,,,,,31.6+,6,5,4,2,3,2,22,193,,1:50.60,サビのスライドの終点フリックは始点を動かさずにそのままフリックまで持っていくとやりやすい
,FALSE,おこちゃま戦争,,,,,31.6,6,5,3,2,3,2,21,175,▲,2:22.29,主に縦連での要求地力が高かったりスライドが奥まで行ったりと、少しチュウニズムっぽいのが特徴
,FALSE,右肩の蝶,,,,,31.6,5,4,2,3,5,2,21,140,,2:10.07,曲名に「右」があるのに左に寄る譜面が2箇所...ゴリ押しで済むような認識難とロング終点が難点
,FALSE,Vampire's ∞ pathoS,,,,,31.6,5,4,4,3,3,2,21,134,◎,1:55.07,低速ハネリズムの中でもBPMが速い方。フィクサーほど忙しくはないものの2連同時などが存在
,FALSE,徳川カップヌードル禁止令,,,,,31.6,5,4,3,3,3,3,21,178,,2:02.19,ネタ極振り譜面なせいでクセも抜群に強いができれば楽しい。連続フリックはしっかり16分で叩こう
,FALSE,Happy Halloween,,,,,31.6,5,3,3,5,3,2,21,120,◯,2:00.00,12分、16分、24分、32分とリズムを総動員している悪戯譜面。物理的に苦しく妥当の昇格
,FALSE,Life Will Change,,ソ,敷,交,31.6,4,5,4,3,2,3,21,145,◎,1:59.22,バケモン。基本BPM145の低速ハネは速さが最上位タイ。それに加え技術や多少の終点ケアなど全て必要
,FALSE,HERO,,,敷,交,31.6,6,5,5,2,1,2,21,190,,1:59.37,おもろいギミックの詰め合わせセット。ラスサビ前など31相応の地力が求められる配置も多い
,FALSE,モア！ジャンプ！モア！,,,,,31.5+,6,5,2,2,3,2,20,202,,2:00.45,このBPMの16分→同時や、フリックを含む同時押し5連打など、現在ではかなり上位に通用する譜面
,FALSE,そうだった！！,,,,,31.5+,6,5,2,2,2,3,20,192,,2:03.44,最高に楽しい31。こればっかりは譜面製作者を褒めちぎりたい。あと譜面の芸が細かすぎる
,FALSE,にっこり^^調査隊のテーマ,,,,,31.5+,6,4,4,1,3,2,20,180,,2:01.00,とにかく鳳えむとかいうキャラが可愛い曲。多少クセのある部分やくの字配置もあるので注意
,FALSE,魔法みたいなミュージック！,,,,,31.5+,4,3,4,3,4,2,20,210,◎,2:12.48,海外先行譜面からの刺客。24分3打も局所に登場するほか、終点のケアなども難しい
,FALSE,エゴイスト,,,,,31.5+,4,4,4,3,3,2,20,180,,2:24.00,なんといっても32分が特徴的。ラスサビ前地帯もムズいので花を唄うで練習もアリ
,FALSE,未完成讃歌,,,,,31.5+,6,5,3,2,2,2,20,188,,2:33.03,曲がめちゃくちゃ良いが長い。全体的に素直だが局所難や24分乱発のアウトロは注意！
,FALSE,庭師のおはなしによると,,ソ,敷,交,31.5+,4,4,4,4,1,3,20,198-317,,1:52.82,瞬間最高BPMをあっさり抜かれた...基本BPMは216。BPM変化の研究や16分連打の安定性がAPへの近道
,FALSE,私の恋はヘルファイア,,,,,31.5+,4,4,3,3,2,4,20,200,◎,2:25.10,圧倒的フリックの数から苦手意識を持たれがち。曲通り譜面も中継点がうるさい
,FALSE,ヒアソビ,,,ソ,敷,31.5+,4,4,4,3,1,4,20,134,◎,2:08.51,19.2分を基調とした譜面でたまに24分が飛んでくるといった具合。配置を理解しないとキツいかも
,FALSE,ARQETYPE,,,,,31.5+,5,6,3,2,2,2,20,240,,1:35.75,圧倒的物量とラス殺しが非常に特徴的だが必要なスキルこそ少なく、ラストも最悪目押しで通過可能
,FALSE,limbo,,,,敷,31.5+,4,5,6,2,1,2,20,199,,1:38.74,ラストの配置だけで譜面の8割を占めているといっても過言ではないが、独りんぼの24分とほぼ同速...
,FALSE,ポッピンキャンディ☆フィーバー！,,,,,31.5,5,5,3,1,2,3,19,190,,2:03.47,190というBPMで休みがあまりなく、フリックを主体としたプロセカ特有の技術が求められる
,FALSE,悪魔の踊り方,,,,,31.5,5,4,1,2,5,2,19,106,◎,1:55.38,落ちサビに普通にとんでもない終点配置を飛ばすな！！！連続スライドは移動させない取り方が楽
,FALSE,ジェヘナ,,,,,31.5,5,4,3,2,3,2,19,128,◎,2:30.00,開幕やラストの4鍵はしっかり運指を組んでおこう。31ハネの中堅みたいな立ち位置になっている
,FALSE,霽れを待つ,,,,,31.5,6,4,3,2,2,2,19,168,,1:49.82,実装当初30.1に設定してた自分をめちゃくちゃ殴りたい。謎の縦連配置に慣れないと苦しい
,FALSE,トラッシュ・アンド・トラッシュ！,,,,,31.5,6,5,2,2,2,2,19,177-220,◎,2:12.44,高速ハネの中でも基本的な配置が多め。6分音符減速地帯が特徴的なので曲を聴き込もう
,FALSE,成敗いたAAAAAす！,,,,ソ,31.5,5,5,3,2,2,2,19,180,△,2:07.83,実装から一瞬で譜面修正が入った。かなり情報量が多くネタ譜面寄りだが、ラスサビの物量はエグい
,FALSE,アンハッピーリフレイン,,,,,31.5,5,7,3,1,1,2,19,205,,2:06.73,「速いだけ」の権化。Aメロのフリック→タップの部分はフリックの動きを最小限にしてあげよう
,FALSE,I know 愛脳.,,,,ソ,31.5,5,4,4,3,2,1,19,150,,1:58.48,強化版パレットには君がいっぱい。縦連する部分と交互押しする部分を覚えておこう。ラストはムズい
,FALSE,世界を照らすテトラッド,,,,,31.5,7,4,4,2,1,1,19,155,,1:53.61,全体的に地力が必要な譜面。BPMは抑えめなので体力のある日に詰めるとAPが出やすいかも
,FALSE,君色マリンスノウ,,,,交,31.5,4,5,3,3,2,2,19,202,,2:18.42,しっかり難しくはあるが楽しいが勝つ譜面。最後には入れ替え必須な初見殺し配置も見られる
,FALSE,ちがう!!!,,,,,31.5,4,4,5,2,2,2,19,181,,1:52.04,重いのは間奏の16分/12分の押し分けと落ちサビの24分5打×3。これらを乗り切れれば...！
,FALSE,ワンダーラスト,,,ソ,敷,31.4+,4,5,2,3,2,2,18,178-230,,2:16.48,BPM230って速くて...。スタンダードな配置をこのBPMで飛ばすとそりゃムズくなる。曲が神
,FALSE,流星のパルス,,,,,31.4+,6,5,3,2,1,1,18,192,,1:54.22,認識難×くの字がかなり苦しいと判断されたのか昇格した。必要地力は確かに高めではある
,FALSE,ルルブ,,,ソ,交,31.4+,5,5,4,2,1,1,18,200,,2:01.05,純粋な物量に加え、未完成讃歌と違って最初から24分が容赦ないのが差別化点。最後の小粒も注意
,FALSE,とうほう☆ワンダーランド,,,,交,31.4+,5,5,3,2,1,2,18,200,,1:45.60,しっかり密度配置が飛んでくる。アウトロは誘導がある交互配置だが、適正帯の人は理解までが長そう...
,FALSE,チルノのパーフェクトさんすう学園,ソ,敷,交,多,31.4+,5,4,3,2,2,2,18,179,,2:00.34,ちゃんと演出がてんこ盛り。なんだかんだでイントロアウトロの地力配置は重めなので注意
,FALSE,パリィ,,,,,31.4,4,4,3,2,2,2,17,140,◎,1:57.00,BPM140の低速ハネはガチで伊達じゃない！！！！が、同時押しは少なくリズムを覚えれば意外と...?
,FALSE,ときめきジェットコースター,,,,交,31.4,4,4,3,2,2,2,17,180,,2:00.00,この難易度でハッキリと交差配置が存在する。間奏地帯の爽快感がハンパなくて結構好きです
,FALSE,すきなことだけでいいです,,,,,31.4,5,3,2,4,1,2,17,140,,2:32.57,ラスサビは「真ん中縦連2回」→「縦連した方の手でくの字の2ノーツ目を取る」を意識で攻略が可能
,FALSE,ノンブレス・オブリージュ,,,,,31.4,5,4,1,3,3,1,17,148,,2:07.30,ラストのコツ歌います。「右で入る次は左次は右手次は左次は右手次は左次は右手次は左次は右手次は左
,FALSE,ずんだパーリナイ,,,,ソ,31.4,4,3,2,3,3,2,17,150-170,,2:43.92,ソフランが急展開だったりリズムが難しかったりインパクトはあるが、やるうちに結構慣れる
,FALSE,キティ,,,,,31.4,4,3,2,3,1,4,17,145,,1:50.28,終点フリックだけデカいギミックが多数存在する。ロングと同じ手で普段通り終点処理がオススメ
,FALSE,東京テディベア,,,ソ,多,31.4,4,5,3,2,1,2,17,204,,2:11.32,ラスサビの終盤や突然の16分2打など厄介どころはあるものの、見た目通りに叩けすぎる譜面
,FALSE,メズマライザー,,ソ,敷,多,31.4,4,3,4,3,1,2,17,185,,2:01.95,片手2連打の場所を覚えておくに尽きる譜面。催眠地帯の作曲者の工夫が本当に神とされている
,FALSE,最愛人生ランナー,,,,敷,31.4,5,4,3,1,2,2,17,180,,1:51.92,曲のリズムの把握やサビ後半のゲシュタルト崩壊地帯の出来が大きく鍵を握る。効果音多くて楽しい曲
,FALSE,オーバーライド,,,,多,31.4,4,5,3,1,2,2,17,204,,1:55.29,イントロアウトロの終点ないのはありがたいが、それ以外が別にある。BPM204なだけあって密度重め
,FALSE,Nyanyanyanyanyanyanya!,,,,,31.3+,5,5,2,3,0,1,16,142,,1:52.82,100秒間同じリズムながらさまざまなレパートリーの配置を全て対応できなければならず、エグめの猫
,FALSE,フロイライン＝オジョウサマ,,,,交,31.3+,4,4,1,3,2,2,16,200,,2:07.95,ビブリォチカに寄せてるのか旧レギュチックな配置が多め。ただ16分→同時押しが少なめで叩きやすい
,FALSE,新人類,,,,,31.3+,4,3,4,2,1,2,16,144,,2:32.50,やっていて楽し過ぎてプレイヤーがゴリラと化す譜面。24分が3回降ってくるが全てパターンが違う
,FALSE,imaginary love story,,,,,31.3+,4,4,3,3,1,1,16,175,,2:03.43,BNDをかなり易化させたような譜面。大きいノーツはフリックの、縦連は直前の配置の誘導に乗ろう
,FALSE,げんてん,ソ,敷,交,多,31.3+,4,3,3,3,1,2,16,141,,2:02.45,スーパーヒーロー合一型始点再来(早く直して)。それを差し置いても難しさと演出を両立した神譜面
,FALSE,ロケットサイダー,,,,,31.3+,4,5,4,1,0,2,16,198,,2:07.58,終点ナシなのちょっと解釈不一致感。このBPMで連続して16分→同時押しを求められるのがキツい
,FALSE,卑怯戦隊うろたんだー,,ソ,敷,多,31.3+,3,3,2,5,1,2,16,152,,2:06.32,誘導が存在する場所としない場所があり、腐食が後者だと感じるのは3箇所のみ。意外と卑怯でもない
,FALSE,限りなく灰色へ,,,,,31.3+,3,4↑,1,4,3,1,16,108,◎,1:56.02,なぜ！！！花を唄うが上がらず！！！コイツが上がるんだ！！！！ロウワーより地力配置が多め
,FALSE,ロウワー,,,,,31.3(↑),2,4↑,3,3,1,2,15,132,◎,1:43.18,灰色などで認識難を身につけ忙しさに対応する感じの譜面。理解度によって難易度が極端に上下する
,FALSE,ライアーダンサー,,,ソ,敷,31.3,3,3,2,3,1,3,15,170,,1:57.18,ドッキリ大成功。しっかりネタ譜面なので、楽しくやってるとキティフリックにやられる......
,FALSE,D/N/A,,ソ,敷,多,31.3,3,2,3,3,2,2,15,150,,2:04.70,GOD SONG。「多」配置の演出やバグAPDのような譜面、認識難への対策など、やること自体は多い
,FALSE,きゅうくらりん,,,,,31.3,3,6,1,1,2,2,15,220,,1:45.81,16分からの同時押しが実は一切ない。微ズレ地帯には128分も存在する...(BPM1760の16分)
,FALSE,キラー,,,敷,交,31.3,3,4,4,1,2,1,15,196,,1:35.28,しっかりと長めの16分連打や24分4連打などがBPM196で降ってくるため、最低限の地力が必要
,FALSE,クイーンオブハート,,,,敷,31.3,3,3,2,4,1,2,15,235,◎,1:59.62,基本BPM235は初。新レギュ特有の見づらさを存分に発揮しているが、誘導はかなり多く楽しく叩ける
,FALSE,ヤンキーボーイ・ヤンキーガール,,,,敷,31.3,4,3,3,2,1,2,15,125,,1:57.00,実質BPMは250と言ってもいい。BPM125の16分が延々と飛んでくる。ラストの縦連は交互もキくぞ
,FALSE,魔法少女幸福論,,,,ソ,31.2,4,3,2,2,2,1,14,142-180,,2:08.48,最近の31は低速がトレンドなのかもしれない。16分→同時は主にサビに多いので身構えよう
,FALSE,バイオレンストリガー,,,,,31.2,4,5,2,1,1,1,14,196,,2:11.02,連打にかなり難易度を頼っているが、横移動等の技術も多少求められる。アウトロの配置は好き
,FALSE,スーサイドパレヱド,,,,,31.2,3,2,3,2,2,2,14,176,,1:49.86,縦連4連打の最後がフリックなので、入り手と逆の手でフリックすることになるのに注意が必要
,FALSE,イガク,,ソ,敷,多,31.2,1,2,3,5,0,3,14,170,,1:58.41,圧倒的に初見殺し要素が強い譜面であり、様々な種類の認識難の対策を講じることが求められる
